municipal_id,name_municipal_w_type,municipal_rate,education_rate
1950,Toronto C,0.00506079,0.00153
1813,Oshawa C,0.00593639,0.00153
1801,Pickering C,0.00362086,0.00153
1805,Ajax T,0.00384696,0.00153
1817,Clarington M,0.00425622,0.00153
1809,Whitby T,0.00416872,0.00153
1839,Brock Tp,0.00482247,0.00153
1820,Scugog Tp,0.00378807,0.00153
1829,Uxbridge Tp,0.00314717,0.00153
2810,Haldimand Co,0.01109941,0.00153
3310,Norfolk Co,0.0126574,0.00153
2402,Burlington C,0.00367001,0.00153
2415,Halton Hills T,0.00405531,0.00153
2409,Milton T,0.00293692,0.00153
2401,Oakville T,0.0032359,0.00153
2518,Hamilton C,0.00875632,0.00153
2725,Niagara Falls C,0.00542281,0.00153
2711,Port Colborne C,0.01027777,0.00153
2629,St. Catharines C,0.00638506,0.00153
2719,Welland C,0.00777709,0.00153
2731,Thorold C,0.00632284,0.00153
2703,Fort Erie T,0.00700915,0.00153
2615,Grimsby T,0.00305434,0.00153
2622,Lincoln T,0.00499404,0.00153
2627,Niagara-on-the-Lake T,0.00244121,0.00153
2732,Pelham T,0.00584674,0.00153
2714,Wainfleet Tp,0.00784227,0.00153
2602,West Lincoln Tp,0.00398676,0.00153
0614,Ottawa C,0.00731649,0.00153
2110,Brampton C,0.00468184,0.00153
2105,Mississauga C,0.00327862,0.00153
2124,Caledon T,0.0039619,0.00153
5307,Greater Sudbury C,0.01209887,0.00153
3006,Cambridge C,0.0046826,0.00153
3012,Kitchener C,0.00372763,0.00153
3016,Waterloo C,0.00364884,0.00153
3001,North Dumfries Tp,0.00269518,0.00153
3024,Wellesley Tp,0.00352432,0.00153
3018,Wilmot Tp,0.00287036,0.00153
3029,Woolwich Tp,0.00255827,0.00153
1928,Vaughan C,0.00193201,0.00153
1946,Aurora T,0.00301412,0.00153
1936,Markham C,0.00160816,0.00153
1948,Newmarket T,0.00339362,0.00153
1938,Richmond Hill C,0.0018958,0.00153
1944,Whitchurch-Stouffville T,0.00277358,0.00153
1954,East Gwillimbury T,0.00319126,0.00153
1970,Georgina T,0.00566957,0.00153
1949,King Tp,0.00327122,0.00153
4418,Bracebridge T,0.00499873,0.00153
4402,Gravenhurst T,0.00483435,0.00153
4442,Huntsville T,0.004278,0.00153
4465,Georgian Bay Tp,0.00174593,0.00153
4427,Lake of Bays Tp,0.00194157,0.00153
4453,Muskoka Lakes Tp,0.00130109,0.00153
3242,Woodstock C,0.010449,0.00153
3218,Ingersoll T,0.00917585,0.00153
3204,Tillsonburg T,0.00827083,0.00153
3245,Blandford-Blenheim Tp,0.00472712,0.00153
3238,East Zorra-Tavistock Tp,0.0051722,0.00153
3202,Norwich Tp,0.00582481,0.00153
3211,South-West Oxford Tp,0.00532225,0.00153
3227,Zorra Tp,0.00588043,0.00153
2906,Brantford C,0.0123169,0.00153
2920,Brant Co,0.00905,0.00153
4102,South Bruce Peninsula T,0.0059121,0.00153
4110,Saugeen Shores T,0.0069487,0.00153
4103,Arran-Elderslie M,0.0083841,0.00153
4104,Brockton M,0.00956541,0.00153
4109,Northern Bruce Peninsula M,0.00467021,0.00153
4107,Huron-Kinloss Tp,0.00691805,0.00153
4108,Kincardine M,0.0082081,0.00153
4105,South Bruce M,0.0087052,0.00153
